class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label,split
ElasticSearch,0,0.9285714285714286,56,4.875,1.375,0,0,0,Clean,test
Slice,0,0.0,3,1.0,1.0,0,0,0,Clean,train
ParallelMagic,0,0.3333333333333333,273,37.333333333333336,6.166666666666667,0,0,0,Long Method,test
MetaKernelBash,0,0.7,46,3.6,1.8,0,0,0,Clean,train
Campaign,0,0.9264705882352942,182,8.647058823529411,1.0588235294117647,0,0,0,God Class,train
UnknownAlgorithm,0,0.0,2,0.0,0.0,0,0,0,Clean,train
DNAME,0,0.0,3,1.0,1.0,0,0,0,Clean,train
Mock,0,0.0,3,1.0,1.0,0,0,0,Clean,train
FrameworkError,0,0.0,2,0.0,0.0,0,0,0,Clean,train
HTTPError,0,0.5,80,9.0,1.75,1,0,0,Clean,train
PermissionsError,0,0.0,3,0.0,0.0,1,0,0,Clean,train
GoogleDriveFileNode,0,0.0,2,0.0,0.0,0,0,0,Clean,train
GoogleDriveFolder,0,0.0,1,0.0,0.0,1,0,0,Clean,train
GoogleDriveFile,0,0.0,1,0.0,0.0,1,0,0,Clean,train
Anchor,0,0.0,3,0.0,0.0,0,0,0,Clean,test
Footnotes,0,0.0,15,4.0,2.0,0,0,0,Clean,train
PageNumberPaginationWithoutCount,1,0.6666666666666666,42,11.666666666666666,3.0,0,0,2,Clean,train
PaginatorWithoutCount,0,1.0,19,4.333333333333333,1.6666666666666667,0,1,0,Clean,train
_Registry,0,1.0,37,4.2,1.6,0,0,0,Clean,train
UmichHarvester,0,0.0,110,0.0,0.0,0,0,0,Clean,train
CBioPortal,1,0.7631578947368421,800,37.15,4.7,0,0,1,God Class,test
CDGSError,0,0.0,9,1.5,1.0,0,1,0,Clean,train
Query,0,0.8571428571428571,125,6.066666666666666,1.7333333333333334,0,1,1,Clean,test
RemoteQuerySet,1,0.5228758169934641,357,16.72222222222222,3.388888888888889,0,1,8,Long Method,train
Url,0,0.0,8,2.5,1.0,0,1,0,Clean,train
UrlPatterns,0,0.0,38,7.75,4.75,0,0,1,Clean,train
DateInput,0,0.0,4,0.0,0.0,0,0,0,Clean,train
NumberInput,0,0.0,4,0.0,0.0,0,0,0,Clean,train
